#proc cat nGausRV nGausWV
SMS_TChiWH_HToGG_m127_m1 diBBH_pT0_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBH_pT0_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diBBH_pT1_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBH_pT1_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diBBH_pT2_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBH_pT2_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT0_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT0_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT1_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT1_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT2_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 diBBZ_pT2_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 diLepZ 2 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT0_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT0_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT1_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT1_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT2_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1El_pT2_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT0_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT0_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT1_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT1_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT2_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 is1Mu_pT2_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 j0_b0toInf_pT0 4 1
SMS_TChiWH_HToGG_m127_m1 j0_b0toInf_pT1 4 1
SMS_TChiWH_HToGG_m127_m1 j0_b0toInf_pT2 4 1
SMS_TChiWH_HToGG_m127_m1 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiWH_HToGG_m127_m1 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiWH_HToGG_m127_m1 j1to3_b0_pT1_mt2_30 4 1
